"epoch","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MAX","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_vq_loss","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_vq_loss__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_vq_loss__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MAX"
"43","938","938","938","0.0010485238977707922","0.000585509929805994","0.0021294320467859507","938","938","938","0.003516826359555125","0.0026035665068775415","0.004409605637192726"
"44","960","960","960","0.001041686360258609","0.0005933173815719783","0.002130757784470916","960","960","960","0.003438226459547877","0.0023888545110821724","0.004281945526599884"
"45","981","981","981","0.0010468479013070464","0.000594570767134428","0.002122780540958047","981","981","981","0.0034367038402706384","0.002356393728405237","0.0043726819567382336"
"46","1002","1002","1002","0.0010196532472036778","0.0005824521067552269","0.00205428758636117","1002","1002","1002","0.0034033984411507845","0.00235697440803051","0.004355196841061115"
"47","1024","1024","1024","0.0010065435897558927","0.0005864046397618949","0.0019969444256275892","1024","1024","1024","0.0033684750087559223","0.0022668142337352037","0.004244733136147261"
"48","1045","1045","1045","0.0009943926241248846","0.0005809476715512574","0.0020162526052445173","1045","1045","1045","0.003471591463312507","0.002366358181461692","0.004389291163533926"
"49","1067","1067","1067","0.0009960135910660028","0.0005799534264951944","0.0020144146401435137","1067","1067","1067","0.00336455712094903","0.0022905434016138315","0.004223738797008991"
"50","1088","1088","1088","0.0009912400040775538","0.0005828902358189225","0.0019934475421905518","1088","1088","1088","0.0033486591652035712","0.002277891617268324","0.004197550937533379"
"51","1109","1109","1109","0.0009936511632986367","0.0005895189242437482","0.0019955364987254143","1109","1109","1109","0.0033611323684453963","0.0024111182428896427","0.004153909161686897"
"52","1131","1131","1131","0.0009944655932486058","0.0005809813155792654","0.001981045352295041","1131","1131","1131","0.003319421969354153","0.002287347102537751","0.003983004949986935"
"53","1152","1152","1152","0.0009895752184093","0.0005827110726386309","0.0019709444604814053","1152","1152","1152","0.0032997154630720615","0.002256108447909355","0.004057744517922401"
"54","1173","1173","1173","0.0009529933915473521","0.0005782839143648744","0.0018451374489814043","1173","1173","1173","0.003279470931738615","0.002221588511019945","0.004037451930344105"
"55","1195","1195","1195","0.0009634920046664774","0.0005791806615889072","0.001880429801531136","1195","1195","1195","0.0033342749811708927","0.002405875362455845","0.004387883935123682"
"56","1216","1216","1216","0.0009710751008242368","0.0005750175332650542","0.0018602539785206318","1216","1216","1216","0.003276577638462186","0.002239788183942437","0.003974561113864183"
"57","1237","1237","1237","0.0009560135193169117","0.0005766248214058578","0.0018060473958030343","1237","1237","1237","0.0033080681692808866","0.0023371782153844833","0.004165176767855883"
"58","1259","1259","1259","0.000956436968408525","0.0005777232581749558","0.001814977964386344","1259","1259","1259","0.003281764220446348","0.00231147394515574","0.003932901192456484"
"59","1280","1280","1280","0.0009472576552070677","0.0005787486443296075","0.0017766142264008522","1280","1280","1280","0.0032889533787965773","0.0020212309900671244","0.004142562858760357"
"60","1301","1301","1301","0.0009584447136148811","0.0005800534272566438","0.0017912015318870544","1301","1301","1301","0.003231864795088768","0.0020600405987352133","0.004161724355071783"
"61","1323","1323","1323","0.0009638050105422735","0.0005843302351422608","0.0018182469066232443","1323","1323","1323","0.003222924657166004","0.002049170434474945","0.00400270102545619"
"62","1344","1344","1344","0.0009444501483812928","0.0005830313893966377","0.001789713860489428","1344","1344","1344","0.0032254546415060757","0.0020116367377340794","0.003963455557823181"
"63","1366","1366","1366","0.0009160493384115398","0.0005875093629583716","0.0016768062487244606","1366","1366","1366","0.003155073896050453","0.002086448948830366","0.003954189829528332"
"64","1387","1387","1387","0.0009236412355676293","0.000582982727792114","0.0017338875913992524","1387","1387","1387","0.0031542124692350627","0.002026511123403907","0.003924146294593811"
"65","1408","1408","1408","0.000941330986097455","0.0005820946535095572","0.0017536733066663146","1408","1408","1408","0.0031334506813436745","0.001981050241738558","0.003987358417361975"
"66","1430","1430","1430","0.0009239357081241905","0.0005782987573184073","0.0017606201581656933","1430","1430","1430","0.0031752010807394983","0.002087184228003025","0.0040348307229578495"
"67","1451","1451","1451","0.000913139060139656","0.0005744799855165184","0.0016721261199563742","1451","1451","1451","0.00321406708098948","0.001956287305802107","0.004251640290021896"
"68","1472","1472","1472","0.0009183454909361899","0.000578656792640686","0.0016347154742106795","1472","1472","1472","0.0031627140939235686","0.002051812130957842","0.003984400071203709"
"69","1494","1494","1494","0.0009179144748486578","0.0005688696983270347","0.0017311368137598038","1494","1494","1494","0.003151203878223896","0.0020797394681721926","0.004111913964152336"
"70","1515","1515","1515","0.0009038065443746745","0.0005744864465668797","0.0016531351720914245","1515","1515","1515","0.003060903679579496","0.0019661327823996544","0.0036522080190479755"
"71","1536","1536","1536","0.000909036654047668","0.0005709254764951766","0.0016863256460055709","1536","1536","1536","0.003126340266317129","0.0020296925213187933","0.00387469120323658"
"72","1558","1558","1558","0.0009095528512261808","0.0005722938221879303","0.0016599540831521153","1558","1558","1558","0.0030980937415733935","0.0019385904306545854","0.003882006509229541"
"73","1579","1579","1579","0.0008964424603618681","0.0005657228757627308","0.0016495477175340056","1579","1579","1579","0.003083662036806345","0.002004254376515746","0.0037193484604358673"
"74","1601","1601","1601","0.0008828129270114004","0.000567159557249397","0.0016114793252199888","1601","1601","1601","0.003071278985589743","0.001964250346645713","0.003829707158729434"
"75","1622","1622","1622","0.000890851963777095","0.0005692073027603328","0.0016537860501557589","1622","1622","1622","0.0031592112965881823","0.002070749644190073","0.004054580349475145"
"76","1643","1643","1643","0.0008943670545704663","0.0005688888486474752","0.0016620330279693007","1643","1643","1643","0.003064421797171235","0.0019848220981657505","0.0037072179839015007"
"77","1665","1665","1665","0.0008814115193672478","0.0005733195575885475","0.001593987108208239","1665","1665","1665","0.0031513579189777373","0.0019701034761965275","0.003939321264624596"
"78","1686","1686","1686","0.0008813422406092286","0.0005672642728313804","0.0015705155674368143","1686","1686","1686","0.0030630838591605425","0.0019653956405818462","0.003850342705845833"
"79","1707","1707","1707","0.0008775151218287647","0.0005770877469331026","0.0015604256186634302","1707","1707","1707","0.003044909005984664","0.001954091712832451","0.003918612375855446"
"80","1729","1729","1729","0.0009023626334965229","0.0005742747453041375","0.001640738220885396","1729","1729","1729","0.003137440304271877","0.0019307752372696996","0.004088986665010452"
"81","1750","1750","1750","0.0008912805351428688","0.0005917566013522446","0.0015525800408795476","1750","1750","1750","0.0031309425830841064","0.001986486604437232","0.003799102734774351"
