"epoch","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MAX","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0__MAX","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0(MASKED)","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0(MASKED)__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0(MASKED)__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MAX"
"63","1366","1366","1366","0.0022588393185287714","0.001829786691814661","0.002735621528699994","0.0021525021409615876","0.0017055266071110964","0.002657583449035883","1366","1366","1366","0.002223879797384143","0.001982164103537798","0.0027801906690001488"
"64","1387","1387","1387","0.002313952799886465","0.0018219291232526302","0.0027398858219385147","0.002230916917324066","0.0016785049811005592","0.0026707572396844625","1387","1387","1387","0.0022375216241925953","0.0019780544098466635","0.0028226051945239305"
"65","1408","1408","1408","0.0023515477310866117","0.00181671348400414","0.0027543611358851194","0.002295503974892199","0.0016735633835196495","0.0027031053323298693","1408","1408","1408","0.002235084166750312","0.0019437347073107958","0.002775049302726984"
"66","1430","1430","1430","0.0022836066083982585","0.001810321118682623","0.002726648235693574","0.0022270364221185445","0.001660519978031516","0.002679441124200821","1430","1430","1430","0.002227693097665906","0.0019733852241188288","0.0027864158619195223"
"67","1451","1451","1451","0.002253191778436303","0.0017961910925805569","0.00273110531270504","0.0021823649061843754","0.001662586466409266","0.002654377603903413","1451","1451","1451","0.0022642596159130335","0.0019759763963520527","0.0028618203941732645"
"68","1472","1472","1472","0.0022605253150686623","0.0017973852809518576","0.002810268895700574","0.0021935960045084356","0.0016702712746337056","0.0027321558445692062","1472","1472","1472","0.0022395933512598274","0.0020087705925107002","0.0027654108125716448"
"69","1494","1494","1494","0.002241840958595276","0.0018001527059823275","0.002738016890361905","0.0021685018204152585","0.001675406121648848","0.00265388167463243","1494","1494","1494","0.0022363903932273387","0.0019733181688934565","0.002823942806571722"
"70","1515","1515","1515","0.0022452699253335596","0.0018138783052563667","0.002716648392379284","0.0021668511210009454","0.0016788931097835302","0.0026329378597438335","1515","1515","1515","0.002208917820826173","0.001964107621461153","0.0027645959053188562"
"71","1536","1536","1536","0.002243650588206947","0.0018227468244731426","0.002751888707280159","0.002148160547949374","0.0016729605849832296","0.0026789128314703703","1536","1536","1536","0.0022150914650410415","0.001970676938071847","0.0027605416253209114"
"72","1558","1558","1558","0.002221624366939068","0.0017983822617679834","0.0026869410648941994","0.0021118795033544303","0.001650864607654512","0.0026082589756697416","1558","1558","1558","0.0022149023599922655","0.0019861850887537003","0.002781203016638756"
"73","1579","1579","1579","0.002203965187072754","0.0018074408872053027","0.00267434143461287","0.0020929877879098057","0.0016789801884442568","0.002595373196527362","1579","1579","1579","0.0021997362608090045","0.0019511167192831635","0.002739826450124383"
"74","1601","1601","1601","0.0021999337244778872","0.001841965364292264","0.0027080709114670753","0.0020853664726018907","0.0017059341771528125","0.002630155300721526","1601","1601","1601","0.0022219640202820303","0.0019391090609133244","0.002829666016623378"
"75","1622","1622","1622","0.0022498994134366513","0.0018716560443863273","0.00293534342199564","0.0021367807406932116","0.0017300480976700783","0.0028671957552433014","1622","1622","1622","0.00221049424726516","0.0019373324466869235","0.0027956836856901646"
"76","1643","1643","1643","0.002220783778466284","0.0018820081604644656","0.0027786416467279196","0.0021010096650570633","0.0017283721826970577","0.0027043819427490234","1643","1643","1643","0.0022534117568284275","0.0020287621300667524","0.0027704022359102964"
"77","1665","1665","1665","0.0022328800521790983","0.0018920620204880834","0.002787373261526227","0.002109332988038659","0.0016890930710360408","0.0027149533852934837","1665","1665","1665","0.0022050402127206325","0.0019287148024886847","0.002752539701759815"
"78","1686","1686","1686","0.0022341373842209578","0.001889503444544971","0.0027241110801696777","0.002111424878239632","0.0017093440983444452","0.002652687020599842","1686","1686","1686","0.0022210693452507256","0.001987231196835637","0.0027840067632496357"
"79","1707","1707","1707","0.002265668869949877","0.001898677903227508","0.0027713340241461992","0.002140668430365622","0.0017388869309797883","0.002720579970628023","1707","1707","1707","0.002202086336910725","0.001959999790415168","0.00275405659340322"
"80","1729","1729","1729","0.0022487795446068048","0.0018777099903672934","0.0027301765512675047","0.0021255404688417913","0.0017360305646434426","0.002656774129718542","1729","1729","1729","0.002203789493069053","0.0019333504606038332","0.002762525575235486"
"81","1750","1750","1750","0.002285710955038667","0.001946538919582963","0.0027170004323124886","0.002170648775063455","0.0018093372927978635","0.0026421090587973595","1750","1750","1750","0.002212871867232025","0.001942747156135738","0.0027622703928500414"
"82","1771","1771","1771","0.0022986682364717127","0.0019173197215422988","0.0028414905536919832","0.0021800312446430326","0.001774431555531919","0.0027513685636222363","1771","1771","1771","0.0022152560763061047","0.0019696643576025963","0.002746961545199156"
"83","1793","1793","1793","0.0022608773317188023","0.0018977089785039425","0.00275619700551033","0.0021466858219355346","0.0017704230267554522","0.0026789256371557713","1793","1793","1793","0.002220116648823023","0.001975727267563343","0.0027627076487988234"
"84","1814","1814","1814","0.002263786201365292","0.0018543353071436286","0.0028671021573245525","0.002149816509336233","0.0017278766026720405","0.0027914177626371384","1814","1814","1814","0.0022288339212536814","0.0019582384265959263","0.002732753986492753"
"85","1835","1835","1835","0.0022978332359343766","0.0018073036335408688","0.002939615398645401","0.0021849700016900895","0.0016774917021393776","0.002871281933039427","1835","1835","1835","0.002196587808430195","0.001968559343367815","0.0026954750064760447"
"86","1857","1857","1857","0.002253659488633275","0.001784177147783339","0.002872300101444125","0.0021395896794274448","0.001659734989516437","0.0027971616946160793","1857","1857","1857","0.002216445142403245","0.001975016901269555","0.0027407787274569273"
