"epoch","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - _step","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - _step__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - _step__MAX","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0(MASKED)","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0(MASKED)__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0(MASKED)__MAX","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MAX"
"38","832","832","832","17662.132161458332","17574.1484375","17736.576171875","16417.8701171875","16359.0439453125","16480.751953125","832","832","832","15516.9470703125","15475.53125","15605.962890625"
"39","853","853","853","17640.625","17581.33984375","17709.353515625","16364.4423828125","16316.1025390625","16408.859375","853","853","853","15470.7498046875","15423.39453125","15519.73046875"
"40","874","874","874","17725.33984375","17611.888671875","17794.880859375","16428.584635416668","16358.134765625","16496.16796875","874","874","874","15455.356640625","15405.921875","15476.9658203125"
"41","896","896","896","17720.091145833332","17563.87109375","17938.923828125","16383.608723958334","16307.27734375","16531.8046875","896","896","896","15489.3576171875","15423.4931640625","15646.9384765625"
"42","917","917","917","17757.548828125","17637.52734375","17847.744140625","16378.671875","16339.5361328125","16441.8828125","917","917","917","15512.2818359375","15382.8818359375","15708.3251953125"
"43","938","938","938","17718.240234375","17559.322265625","17937.857421875","16311.176106770834","16213.7685546875","16403.302734375","938","938","938","15520.38046875","15447.01953125","15565.404296875"
"44","960","960","960","17739.294921875","17737.12890625","17742.509765625","16349.229166666666","16323.3291015625","16368.3955078125","960","960","960","15537.31953125","15452.0126953125","15769.021484375"
"45","981","981","981","17731.263671875","17656.998046875","17770.513671875","16292.827473958334","16222.87109375","16334.291015625","981","981","981","15479.7861328125","15376.908203125","15567.12890625"
"46","1002","1002","1002","17767.537760416668","17660.68359375","17826.828125","16345.533854166666","16262.40234375","16387.16015625","1002","1002","1002","15416.9466796875","15345.4248046875","15464.171875"
"47","1024","1024","1024","17834.415364583332","17763.546875","17878.75390625","16331.802734375","16286.9765625","16366.8828125","1024","1024","1024","15440.20078125","15311.1884765625","15552.177734375"
"48","1045","1045","1045","17781.895182291668","17724.462890625","17812.306640625","16311.833658854166","16296.4140625","16333.6787109375","1045","1045","1045","15442.48671875","15387.294921875","15569.0126953125"
"49","1067","1067","1067","17913.047526041668","17753.552734375","18091.3203125","16355.654296875","16262.265625","16442.75390625","1067","1067","1067","15383.3123046875","15305.20703125","15422.2685546875"
"50","1088","1088","1088","17939.296875","17799.095703125","18062.498046875","16343.180989583334","16299.095703125","16368.75","1088","1088","1088","15399.26875","15316.103515625","15454.71875"
"51","1109","1109","1109","17842.585286458332","17778","17949.30078125","16272.498697916666","16241.1689453125","16309.923828125","1109","1109","1109","15381.7310546875","15344.830078125","15409.41015625"
"52","1131","1131","1131","17703.270182291668","17638.603515625","17776.388671875","16167.215494791666","16130.109375","16229.62890625","1131","1131","1131","15445.4513671875","15244.9921875","15552.375"
"53","1152","1152","1152","17904.366536458332","17778.46484375","17995.794921875","16350.105794270834","16319.67578125","16386.0546875","1152","1152","1152","15464.77734375","15312.0380859375","15588.890625"
"54","1173","1173","1173","17956.184244791668","17747.88671875","18195.509765625","16311.190104166666","16153.1484375","16401.154296875","1173","1173","1173","15449.683984375","15328.482421875","15573.92578125"
"55","1195","1195","1195","18068.16796875","17950.345703125","18159.669921875","16410.8896484375","16245.2177734375","16581.908203125","1195","1195","1195","15512.4318359375","15349.5009765625","15812.439453125"
"56","1216","1216","1216","17951.240885416668","17838.322265625","18128.048828125","16343.124348958334","16262.4501953125","16492.857421875","1216","1216","1216","15418.2048828125","15332.8466796875","15483.6572265625"
"57","1237","1237","1237","18078.641927083332","17871.255859375","18207.978515625","16412.463541666668","16254.4140625","16565.77734375","1237","1237","1237","15437.1095703125","15358.82421875","15479.0771484375"
"58","1259","1259","1259","17958.205078125","17891.484375","18043.591796875","16314.575846354166","16267.5","16369.8642578125","1259","1259","1259","15437.855078125","15356.6552734375","15588.916015625"
"59","1280","1280","1280","18192.618489583332","18021.599609375","18334.123046875","16500.833658854168","16345.1318359375","16631.548828125","1280","1280","1280","15370.53046875","15277.08203125","15442.296875"
"60","1301","1301","1301","18180.714192708332","18099.833984375","18302.421875","16500.198893229168","16318.9169921875","16682.1015625","1301","1301","1301","15525.3841796875","15417.533203125","15696.3544921875"
"61","1323","1323","1323","18179.26171875","18068.822265625","18239.470703125","16473.310221354168","16347.3349609375","16594.751953125","1323","1323","1323","15508.8736328125","15401.5537109375","15650.8037109375"
"62","1344","1344","1344","18158.948567708332","18041.06640625","18225.85546875","16351.44140625","16202.5859375","16443.697265625","1344","1344","1344","15405.6669921875","15365.0087890625","15494.23046875"
"63","1366","1366","1366","17934.3046875","17812.162109375","18126.76171875","16240.409505208334","16063.9482421875","16429.765625","1366","1366","1366","15395.055859375","15260.8525390625","15539.8310546875"
"64","1387","1387","1387","18098.596354166668","18028.43359375","18151.974609375","16329.568684895834","16209.337890625","16404.234375","1387","1387","1387","15376.9919921875","15325.6220703125","15417.7548828125"
"65","1408","1408","1408","18223.462239583332","18112.287109375","18362.115234375","16412.833333333332","16368.5546875","16445.904296875","1408","1408","1408","15368.375","15282.4091796875","15435.0244140625"
"66","1430","1430","1430","18038.458984375","17877.654296875","18130.681640625","16240.577799479166","16074.7255859375","16357.935546875","1430","1430","1430","15428.375390625","15218.6298828125","15589.240234375"
"67","1451","1451","1451","18007.068359375","17934.369140625","18075.5","16216.856770833334","16168.48046875","16263.4619140625","1451","1451","1451","15351.5908203125","15296.3662109375","15400.4287109375"
"68","1472","1472","1472","18059.26171875","17881.408203125","18177.3515625","16258.8818359375","16077.81640625","16359.625","1472","1472","1472","15284.819140625","15211.3828125","15360.1826171875"
"69","1494","1494","1494","18335.409505208332","18236.435546875","18521.810546875","16450.073567708332","16313.3125","16610.580078125","1494","1494","1494","15374.971484375","15336.55078125","15418.119140625"
"70","1515","1515","1515","18271.184244791668","17948.140625","18642.265625","16513.031575520832","16243.0517578125","16810.9765625","1515","1515","1515","15301.3990234375","15260.37109375","15324.1357421875"
"71","1536","1536","1536","18098.453125","17953.033203125","18211.595703125","16225.071940104166","16133.275390625","16320.4208984375","1536","1536","1536","15323.5005859375","15226.7578125","15386.935546875"
"72","1558","1558","1558","18127.046875","18035.345703125","18240.353515625","16300.553059895834","16287.7978515625","16325.982421875","1558","1558","1558","15344.330859375","15149.482421875","15401.09375"
"73","1579","1579","1579","18239.716145833332","18164.955078125","18343.390625","16326.664388020834","16218.0185546875","16390.0234375","1579","1579","1579","15296.125390625","15220.853515625","15352.904296875"
"74","1601","1601","1601","18233.213541666668","17948.408203125","18566.591796875","16334.68359375","16130.7939453125","16599.220703125","1601","1601","1601","15407.644921875","15348.0048828125","15498.873046875"
"75","1622","1622","1622","18321.835286458332","18151.513671875","18552.671875","16433.777018229168","16213.7607421875","16671.541015625","1622","1622","1622","15292.9705078125","15141.443359375","15378.5791015625"
"76","1643","1643","1643","18079.91796875","17999.609375","18129.12890625","16191.455729166666","16103.7421875","16283.927734375","1643","1643","1643","15355.490234375","15264.7001953125","15462.17578125"
"77","1665","1665","1665","18099.082682291668","18069.984375","18114.341796875","16149.424479166666","16103.53515625","16214.833984375","1665","1665","1665","15288.1125","15195.9365234375","15372.859375"
"78","1686","1686","1686","18124.412109375","17896.697265625","18384.490234375","16167.700846354166","15977.794921875","16398.0859375","1686","1686","1686","15343.51328125","15256.06640625","15434.4208984375"
"79","1707","1707","1707","18299.912109375","17915.8125","18643.443359375","16304.438151041666","15964.185546875","16597.208984375","1707","1707","1707","15349.2888671875","15249.552734375","15485.234375"
"80","1729","1729","1729","18080.744791666668","17933.130859375","18164.72265625","16149.057291666666","16037.5859375","16208.0673828125","1729","1729","1729","15330.173046875","15251.576171875","15399.830078125"
