"epoch","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - _step","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - _step__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - _step__MAX","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - val_kl_loss","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - val_kl_loss__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - val_kl_loss__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MAX"
"53","1152","1152","1152","7042.08310546875","6953.474609375","7122.7626953125","1152","1152","1152","8068.325","7992.1552734375","8142.46728515625"
"54","1173","1173","1173","7080.7603515625","7034.39794921875","7100.27490234375","1173","1173","1173","8094.5732421875","7972.66845703125","8175.27978515625"
"55","1195","1195","1195","7114.99736328125","7065.609375","7165.45654296875","1195","1195","1195","8038.3046875","7982.04345703125","8100.9345703125"
"56","1216","1216","1216","7043.88232421875","6902.71435546875","7210.8046875","1216","1216","1216","8085.53427734375","7970.689453125","8243.427734375"
"57","1237","1237","1237","7064.1658203125","7020.91162109375","7099.72119140625","1237","1237","1237","8050.91494140625","7970.525390625","8093.75634765625"
"58","1259","1259","1259","7057.11298828125","6984.625","7113.84228515625","1259","1259","1259","8076.540234375","8024.69140625","8114.365234375"
"59","1280","1280","1280","7070.99580078125","6924.52978515625","7139.40380859375","1280","1280","1280","8086.1625","7986.01416015625","8251.376953125"
"60","1301","1301","1301","7066.2193359375","6956.5791015625","7219.52880859375","1301","1301","1301","8024.1498046875","7973.326171875","8140.29443359375"
"61","1323","1323","1323","7061.51630859375","6966.02880859375","7161.25732421875","1323","1323","1323","8042.45341796875","7967.1845703125","8168.74609375"
"62","1344","1344","1344","7095.58349609375","7000.82763671875","7192.63525390625","1344","1344","1344","8086.02353515625","7985.30712890625","8160.41162109375"
"63","1366","1366","1366","7072.33427734375","6952.77099609375","7145.3984375","1366","1366","1366","8066.68310546875","7970.71435546875","8149.75244140625"
"64","1387","1387","1387","7070.3875","6997.6455078125","7177.23779296875","1387","1387","1387","8058.8287109375","8024.14013671875","8098.16162109375"
"65","1408","1408","1408","7101.11552734375","7043.15673828125","7171.12255859375","1408","1408","1408","8066.372265625","7958.787109375","8160.44140625"
"66","1430","1430","1430","7039.2833984375","6874.37451171875","7109.45263671875","1430","1430","1430","8011.88173828125","7884.84814453125","8179.30517578125"
"67","1451","1451","1451","7096.61494140625","7013.40380859375","7227.6533203125","1451","1451","1451","8084.37919921875","8055.8466796875","8116.01611328125"
"68","1472","1472","1472","7038.26708984375","6995.43896484375","7126.25146484375","1472","1472","1472","8134.43837890625","8075.048828125","8202.259765625"
"69","1494","1494","1494","7052.7236328125","6990.8251953125","7139.51513671875","1494","1494","1494","8054.18271484375","7993.314453125","8166.99072265625"
"70","1515","1515","1515","7038.37333984375","6960.75341796875","7165.07568359375","1515","1515","1515","8120.84892578125","8070.2548828125","8179.86865234375"
"71","1536","1536","1536","7023.40888671875","6943.9443359375","7139.44775390625","1536","1536","1536","8091.93056640625","8006.74658203125","8196.513671875"
"72","1558","1558","1558","6991.466015625","6883.46630859375","7059.60595703125","1558","1558","1558","8068.049609375","7992.44873046875","8216.9326171875"
"73","1579","1579","1579","7070.5595703125","6980.24609375","7155.388671875","1579","1579","1579","8097.71220703125","8044.474609375","8163.71337890625"
"74","1601","1601","1601","7062.79765625","7023.0498046875","7116.8779296875","1601","1601","1601","8000.93232421875","7962.0517578125","8039.0869140625"
"75","1622","1622","1622","7000.5875","6907.63330078125","7096.96142578125","1622","1622","1622","8125.66904296875","8070.87841796875","8185.3525390625"
"76","1643","1643","1643","7053.46435546875","6944.05419921875","7203.15478515625","1643","1643","1643","8032.1865234375","7971.65380859375","8111.0947265625"
"77","1665","1665","1665","6996.300390625","6888.00048828125","7102.55224609375","1665","1665","1665","8084.5166015625","8011.59716796875","8174.845703125"
"78","1686","1686","1686","7023.68681640625","6904.001953125","7194.9951171875","1686","1686","1686","8053.24208984375","7975.85302734375","8129.57958984375"
"79","1707","1707","1707","6990.8619140625","6930.1982421875","7042.52294921875","1707","1707","1707","8052.01044921875","7999.14990234375","8109.328125"
"80","1729","1729","1729","6985.42470703125","6896.77587890625","7113.87109375","1729","1729","1729","8045.376171875","7985.49560546875","8131.29248046875"
"81","1750","1750","1750","7012.55263671875","6960.44775390625","7114.37158203125","1750","1750","1750","8096.91962890625","8054.998046875","8171.45849609375"
"82","1771","1771","1771","6994.262109375","6914.5439453125","7070.72119140625","1771","1771","1771","8073.87998046875","7942.64208984375","8201.8310546875"
"83","1793","1793","1793","7039.215625","6974.63623046875","7199.3681640625","1793","1793","1793","8069.84306640625","8019.28515625","8159.109375"
"84","1814","1814","1814","7025.909765625","6978.07568359375","7082.9228515625","1814","1814","1814","8091.787109375","8031.00341796875","8130.12353515625"
"85","1835","1835","1835","7049.3576171875","6986.244140625","7147.388671875","1835","1835","1835","8060.53134765625","8000.32666015625","8149.95361328125"
"86","1857","1857","1857","6991.48427734375","6902.37890625","7057.51806640625","1857","1857","1857","8102.49833984375","8015.31591796875","8183.6083984375"
"87","1878","1878","1878","6986.77119140625","6912.84130859375","7054.107421875","1878","1878","1878","8118.8765625","8024.65673828125","8244.2861328125"
"88","1900","1900","1900","7033.0283203125","6977.94970703125","7108.6533203125","1900","1900","1900","8056.82001953125","7962.796875","8119.939453125"
"89","1921","1921","1921","7000.3267578125","6945.80078125","7090.640625","1921","1921","1921","8034.6365234375","7994.87255859375","8097.376953125"
"90","1942","1942","1942","6995.04482421875","6893.4951171875","7043.14794921875","1942","1942","1942","8109.87998046875","8034.6376953125","8229.9560546875"
"91","1964","1964","1964","6961.89560546875","6867.6484375","7047.3310546875","1964","1964","1964","8058.709765625","7989.84375","8110.115234375"
"92","1985","1985","1985","7000.87939453125","6907.79638671875","7064.32275390625","1985","1985","1985","8066.09755859375","7963.97705078125","8208.5205078125"
"93","2006","2006","2006","7022.182421875","6976.97998046875","7095.119140625","2006","2006","2006","8051.4978515625","7982.54248046875","8158.21533203125"
"94","2028","2028","2028","7002.10849609375","6967.216796875","7045.29345703125","2028","2028","2028","8053.00703125","7955.19140625","8153.10498046875"
"95","2049","2049","2049","6985.044140625","6945.78857421875","7023.458984375","2049","2049","2049","8080.09189453125","7919.20458984375","8177.57958984375"
"96","2070","2070","2070","6992.52294921875","6897.5068359375","7075.4873046875","2070","2070","2070","8043.80185546875","7872.96240234375","8270.341796875"
"97","2092","2092","2092","6927.82138671875","6871.89453125","7021.66748046875","2092","2092","2092","8110.22001953125","8009.87939453125","8200.03515625"
"98","2113","2113","2113","6943.293359375","6862.7861328125","7039.953125","2113","2113","2113","8101.573828125","7995.330078125","8285.6845703125"
"99","2135","2135","2135","6989.3158203125","6896.59130859375","7123.35107421875","2135","2135","2135","8115.075","7989.14404296875","8171.2353515625"
