"epoch","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_recon_loss_0","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_recon_loss_0__MIN","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_recon_loss_0__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MAX"
"75","1622","1622","1622","13926.2939453125","13922.7392578125","13929.8486328125","1622","1622","1622","15292.9705078125","15141.443359375","15378.5791015625"
"76","1643","1643","1643","13815.70556640625","13572.4150390625","14058.99609375","1643","1643","1643","15355.490234375","15264.7001953125","15462.17578125"
"77","1665","1665","1665","13830.314453125","13735.1044921875","13925.5244140625","1665","1665","1665","15288.1125","15195.9365234375","15372.859375"
"78","1686","1686","1686","13708.9873046875","13585.375","13832.599609375","1686","1686","1686","15343.51328125","15256.06640625","15434.4208984375"
"79","1707","1707","1707","13701.1142578125","13667.0390625","13735.189453125","1707","1707","1707","15349.2888671875","15249.552734375","15485.234375"
"80","1729","1729","1729","13688.83935546875","13592.4580078125","13785.220703125","1729","1729","1729","15330.173046875","15251.576171875","15399.830078125"
"81","1750","1750","1750","13716.07470703125","13555.908203125","13876.2412109375","1750","1750","1750","15291.208984375","15184.783203125","15379.4521484375"
"82","1771","1771","1771","13828.60400390625","13755.654296875","13901.5537109375","1771","1771","1771","15378.32421875","15159.0673828125","15493.5361328125"
"83","1793","1793","1793","13749.2646484375","13746.734375","13751.794921875","1793","1793","1793","15319.09921875","15270.1484375","15383.7568359375"
"84","1814","1814","1814","13687.361328125","13657.7998046875","13716.9228515625","1814","1814","1814","15271.797265625","15205.1025390625","15312.6728515625"
"85","1835","1835","1835","13685.62646484375","13679.5556640625","13691.697265625","1835","1835","1835","15295.4193359375","15191.921875","15435.900390625"
"86","1857","1857","1857","13823.203125","13758.068359375","13888.337890625","1857","1857","1857","15296.6900390625","15217.599609375","15397.6435546875"
"87","1878","1878","1878","13777.65869140625","13624.064453125","13931.2529296875","1878","1878","1878","15296.176171875","15234.1708984375","15407.470703125"
"88","1900","1900","1900","13866.51318359375","13851.2626953125","13881.763671875","1900","1900","1900","15348.357421875","15236.869140625","15509.3076171875"
"89","1921","1921","1921","13843.0927734375","13747.3935546875","13938.7919921875","1921","1921","1921","15367.0494140625","15292.328125","15429.5087890625"
"90","1942","1942","1942","13887.166015625","13724.1123046875","14050.2197265625","1942","1942","1942","15310.472265625","15213.271484375","15401.798828125"
"91","1964","1964","1964","13766.3447265625","13622.0771484375","13910.6123046875","1964","1964","1964","15362.119140625","15290.30859375","15449.0146484375"
"92","1985","1985","1985","13744.607421875","13669.9228515625","13819.2919921875","1985","1985","1985","15354.793359375","15223.6162109375","15418.23046875"
"93","2006","2006","2006","13845.25244140625","13784.244140625","13906.2607421875","2006","2006","2006","15324.4560546875","15149.3798828125","15441.4794921875"
"94","2028","2028","2028","13822.92041015625","13689.875","13955.9658203125","2028","2028","2028","15321.783203125","15144.814453125","15416.8310546875"
"95","2049","2049","2049","13655.162109375","13524.3505859375","13785.9736328125","2049","2049","2049","15320.5314453125","15185.2373046875","15581.4814453125"
"96","2070","2070","2070","13590.96435546875","13522.0185546875","13659.91015625","2070","2070","2070","15305.3888671875","15037.6689453125","15503.6416015625"
"97","2092","2092","2092","13659.63720703125","13644.12890625","13675.1455078125","2092","2092","2092","15236.61953125","15069.4892578125","15367.349609375"
"98","2113","2113","2113","13837.33544921875","13709.306640625","13965.3642578125","2113","2113","2113","15233.6029296875","14993.9619140625","15323.3525390625"
"99","2135","2135","2135","13986.35986328125","13833.8583984375","14138.861328125","2135","2135","2135","15259.2171875","15109.67578125","15430.4697265625"
