"epoch","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MIN","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MAX"
"53","1152","1152","1152","10617.1474609375","10324.4462890625","10909.8486328125","1152","1152","1152","8068.325","7992.1552734375","8142.46728515625"
"54","1173","1173","1173","10690.87939453125","10599.515625","10782.2431640625","1173","1173","1173","8094.5732421875","7972.66845703125","8175.27978515625"
"55","1195","1195","1195","10366.8623046875","10328.8095703125","10404.9150390625","1195","1195","1195","8038.3046875","7982.04345703125","8100.9345703125"
"56","1216","1216","1216","10554.046875","10377.7138671875","10730.3798828125","1216","1216","1216","8085.53427734375","7970.689453125","8243.427734375"
"57","1237","1237","1237","10353.09716796875","10111.8955078125","10594.298828125","1237","1237","1237","8050.91494140625","7970.525390625","8093.75634765625"
"58","1259","1259","1259","10289.8310546875","10251.2666015625","10328.3955078125","1259","1259","1259","8076.540234375","8024.69140625","8114.365234375"
"59","1280","1280","1280","10281.50048828125","10272.1845703125","10290.81640625","1280","1280","1280","8086.1625","7986.01416015625","8251.376953125"
"60","1301","1301","1301","10412.57470703125","10362.47265625","10462.6767578125","1301","1301","1301","8024.1498046875","7973.326171875","8140.29443359375"
"61","1323","1323","1323","10472.2861328125","10424.23046875","10520.341796875","1323","1323","1323","8042.45341796875","7967.1845703125","8168.74609375"
"62","1344","1344","1344","10544.05712890625","10360.08203125","10728.0322265625","1344","1344","1344","8086.02353515625","7985.30712890625","8160.41162109375"
"63","1366","1366","1366","10537.82958984375","10480.587890625","10595.0712890625","1366","1366","1366","8066.68310546875","7970.71435546875","8149.75244140625"
"64","1387","1387","1387","10557.4833984375","10453.7861328125","10661.1806640625","1387","1387","1387","8058.8287109375","8024.14013671875","8098.16162109375"
