"epoch","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MIN","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MAX"
"58","1259","1259","1259","9635.1267578125","9508.095703125","9737.9931640625","1259","1259","1259","8076.540234375","8024.69140625","8114.365234375"
"59","1280","1280","1280","9652.9087890625","9595.798828125","9832.474609375","1280","1280","1280","8086.1625","7986.01416015625","8251.376953125"
"60","1301","1301","1301","9595.1875","9429.966796875","9747.3876953125","1301","1301","1301","8024.1498046875","7973.326171875","8140.29443359375"
"61","1323","1323","1323","9659.63671875","9595.9580078125","9706.2451171875","1323","1323","1323","8042.45341796875","7967.1845703125","8168.74609375"
"62","1344","1344","1344","9665.5935546875","9542.05078125","9828.8681640625","1344","1344","1344","8086.02353515625","7985.30712890625","8160.41162109375"
"63","1366","1366","1366","9678.9685546875","9533.646484375","9816.79296875","1366","1366","1366","8066.68310546875","7970.71435546875","8149.75244140625"
"64","1387","1387","1387","9633.4541015625","9516.33203125","9709.9873046875","1387","1387","1387","8058.8287109375","8024.14013671875","8098.16162109375"
"65","1408","1408","1408","9653.15546875","9546.787109375","9769.63671875","1408","1408","1408","8066.372265625","7958.787109375","8160.44140625"
"66","1430","1430","1430","9650.03125","9482.015625","9770.7890625","1430","1430","1430","8011.88173828125","7884.84814453125","8179.30517578125"
"67","1451","1451","1451","9616.859375","9561.3193359375","9668.1669921875","1451","1451","1451","8084.37919921875","8055.8466796875","8116.01611328125"
"68","1472","1472","1472","9649.3224609375","9553.173828125","9725.787109375","1472","1472","1472","8134.43837890625","8075.048828125","8202.259765625"
"69","1494","1494","1494","9650.13359375","9571.6318359375","9776.6767578125","1494","1494","1494","8054.18271484375","7993.314453125","8166.99072265625"
"70","1515","1515","1515","9644.2412109375","9550.3701171875","9734.396484375","1515","1515","1515","8120.84892578125","8070.2548828125","8179.86865234375"
"71","1536","1536","1536","9657.851171875","9464.5234375","9792.958984375","1536","1536","1536","8091.93056640625","8006.74658203125","8196.513671875"
"72","1558","1558","1558","9595.187890625","9517.201171875","9740.638671875","1558","1558","1558","8068.049609375","7992.44873046875","8216.9326171875"
"73","1579","1579","1579","9637.7892578125","9486.0283203125","9831.53125","1579","1579","1579","8097.71220703125","8044.474609375","8163.71337890625"
"74","1601","1601","1601","9694.4041015625","9525.4619140625","9898.98046875","1601","1601","1601","8000.93232421875","7962.0517578125","8039.0869140625"
"75","1622","1622","1622","9589.236328125","9457.8564453125","9718.24609375","1622","1622","1622","8125.66904296875","8070.87841796875","8185.3525390625"
"76","1643","1643","1643","9679.455859375","9577.076171875","9789.8359375","1643","1643","1643","8032.1865234375","7971.65380859375","8111.0947265625"
"77","1665","1665","1665","9632.373046875","9511.439453125","9728.8984375","1665","1665","1665","8084.5166015625","8011.59716796875","8174.845703125"
"78","1686","1686","1686","9659.855859375","9524.689453125","9826.048828125","1686","1686","1686","8053.24208984375","7975.85302734375","8129.57958984375"
"79","1707","1707","1707","9633.2740234375","9519.177734375","9736.259765625","1707","1707","1707","8052.01044921875","7999.14990234375","8109.328125"
"80","1729","1729","1729","9636.5857421875","9470.1357421875","9708.5478515625","1729","1729","1729","8045.376171875","7985.49560546875","8131.29248046875"
"81","1750","1750","1750","9636.594921875","9515.0478515625","9726.916015625","1750","1750","1750","8096.91962890625","8054.998046875","8171.45849609375"
"82","1771","1771","1771","9672.680078125","9569.5302734375","9872.515625","1771","1771","1771","8073.87998046875","7942.64208984375","8201.8310546875"
"83","1793","1793","1793","9630.9705078125","9427.6494140625","9769.0146484375","1793","1793","1793","8069.84306640625","8019.28515625","8159.109375"
"84","1814","1814","1814","9624.23046875","9576.181640625","9712.1103515625","1814","1814","1814","8091.787109375","8031.00341796875","8130.12353515625"
"85","1835","1835","1835","9646.785546875","9581.994140625","9720.7802734375","1835","1835","1835","8060.53134765625","8000.32666015625","8149.95361328125"
"86","1857","1857","1857","9666.053125","9569.5078125","9762.4443359375","1857","1857","1857","8102.49833984375","8015.31591796875","8183.6083984375"
"87","1878","1878","1878","9707.2232421875","9532.572265625","9827.8017578125","1878","1878","1878","8118.8765625","8024.65673828125","8244.2861328125"
"88","1900","1900","1900","9647.027734375","9533.6962890625","9736.9716796875","1900","1900","1900","8056.82001953125","7962.796875","8119.939453125"
"89","1921","1921","1921","9701.151171875","9602.16015625","9873.8701171875","1921","1921","1921","8034.6365234375","7994.87255859375","8097.376953125"
"90","1942","1942","1942","9642.3302734375","9578.7666015625","9690.5888671875","1942","1942","1942","8109.87998046875","8034.6376953125","8229.9560546875"
"91","1964","1964","1964","9632.0341796875","9528.8623046875","9699.02734375","1964","1964","1964","8058.709765625","7989.84375","8110.115234375"
"92","1985","1985","1985","9626.3986328125","9400.8447265625","9751.03125","1985","1985","1985","8066.09755859375","7963.97705078125","8208.5205078125"
"93","2006","2006","2006","9635.0697265625","9591.72265625","9693.953125","2006","2006","2006","8051.4978515625","7982.54248046875","8158.21533203125"
"94","2028","2028","2028","9647.391796875","9565.0625","9707.0478515625","2028","2028","2028","8053.00703125","7955.19140625","8153.10498046875"
"95","2049","2049","2049","9643.63671875","9499.6064453125","9923.78125","2049","2049","2049","8080.09189453125","7919.20458984375","8177.57958984375"
"96","2070","2070","2070","9632.553515625","9441.6513671875","9788.169921875","2070","2070","2070","8043.80185546875","7872.96240234375","8270.341796875"
"97","2092","2092","2092","9625.4189453125","9468.142578125","9696.2021484375","2092","2092","2092","8110.22001953125","8009.87939453125","8200.03515625"
"98","2113","2113","2113","9606.7310546875","9511.9345703125","9767.2236328125","2113","2113","2113","8101.573828125","7995.330078125","8285.6845703125"
"99","2135","2135","2135","9614.0595703125","9445.8896484375","9811.8212890625","2135","2135","2135","8115.075","7989.14404296875","8171.2353515625"
