"epoch","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_recon_loss_0","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_recon_loss_0__MIN","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_recon_loss_0__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MAX"
"68","1472","1472","1472","0.0013725085183978081","0.0012402787106111646","0.0015069167129695415","1472","1472","1472","0.0022395933512598274","0.0020087705925107002","0.0027654108125716448"
"69","1494","1494","1494","0.0013359767151996493","0.0012228245614096522","0.00142222351860255","1494","1494","1494","0.0022363903932273387","0.0019733181688934565","0.002823942806571722"
"70","1515","1515","1515","0.0013470094418153167","0.001261470140889287","0.0014408334391191602","1515","1515","1515","0.002208917820826173","0.001964107621461153","0.0027645959053188562"
"71","1536","1536","1536","0.0013432551641017199","0.0012155562872067094","0.0014565171441063285","1536","1536","1536","0.0022150914650410415","0.001970676938071847","0.0027605416253209114"
"72","1558","1558","1558","0.0013306642649695277","0.0011977506801486015","0.0014206495834514499","1558","1558","1558","0.0022149023599922655","0.0019861850887537003","0.002781203016638756"
"73","1579","1579","1579","0.0013565187342464923","0.0012799642281606793","0.0014252153923735023","1579","1579","1579","0.0021997362608090045","0.0019511167192831635","0.002739826450124383"
"74","1601","1601","1601","0.0013402176089584827","0.0012457116972655058","0.001437625614926219","1601","1601","1601","0.0022219640202820303","0.0019391090609133244","0.002829666016623378"
"75","1622","1622","1622","0.001325019495561719","0.0012495031114667654","0.001399397267960012","1622","1622","1622","0.00221049424726516","0.0019373324466869235","0.0027956836856901646"
"76","1643","1643","1643","0.001329197734594345","0.0012038336135447025","0.0014033295447006822","1643","1643","1643","0.0022534117568284275","0.0020287621300667524","0.0027704022359102964"
"77","1665","1665","1665","0.0013286488829180598","0.0012090476229786873","0.0014299957547336817","1665","1665","1665","0.0022050402127206325","0.0019287148024886847","0.002752539701759815"
"78","1686","1686","1686","0.0013266208581626416","0.001238454831764102","0.0014271275140345097","1686","1686","1686","0.0022210693452507256","0.001987231196835637","0.0027840067632496357"
"79","1707","1707","1707","0.001321534183807671","0.0011947007151320577","0.0014114858349785209","1707","1707","1707","0.002202086336910725","0.001959999790415168","0.00275405659340322"
"80","1729","1729","1729","0.0013071305584162474","0.0012134293792769313","0.0013879415346309543","1729","1729","1729","0.002203789493069053","0.0019333504606038332","0.002762525575235486"
"81","1750","1750","1750","0.0013119905022904276","0.0012286945711821318","0.0014030968304723501","1750","1750","1750","0.002212871867232025","0.001942747156135738","0.0027622703928500414"
"82","1771","1771","1771","0.0013100860873237253","0.0012165174121037126","0.001387058524414897","1771","1771","1771","0.0022152560763061047","0.0019696643576025963","0.002746961545199156"
"83","1793","1793","1793","0.0013156198896467687","0.0012181259226053953","0.0013922053622081876","1793","1793","1793","0.002220116648823023","0.001975727267563343","0.0027627076487988234"
"84","1814","1814","1814","0.0013015371980145574","0.0012104340130463243","0.001386319287121296","1814","1814","1814","0.0022288339212536814","0.0019582384265959263","0.002732753986492753"
"85","1835","1835","1835","0.0013018131721764803","0.001217591343447566","0.0013863765634596348","1835","1835","1835","0.002196587808430195","0.001968559343367815","0.0026954750064760447"
"86","1857","1857","1857","0.0013192919548600912","0.0012497900752350688","0.0013738097622990608","1857","1857","1857","0.002216445142403245","0.001975016901269555","0.0027407787274569273"
"87","1878","1878","1878","0.0013118215836584568","0.0012500397861003876","0.0013933733571320772","1878","1878","1878","0.0022088744677603244","0.0019588125869631767","0.0027734553441405296"
"88","1900","1900","1900","0.0013559597777202726","0.0012276339111849666","0.001503409817814827","1900","1900","1900","0.0022003065794706346","0.001945452531799674","0.0027363388799130917"
"89","1921","1921","1921","0.0013308017514646053","0.0012280934024602175","0.001373934792354703","1921","1921","1921","0.00219716327264905","0.0019709563348442316","0.0026914901100099087"
"90","1942","1942","1942","0.0013173860963433981","0.0012511536478996277","0.0013566608540713787","1942","1942","1942","0.0022163046523928642","0.0019904631190001965","0.00271540111862123"
"91","1964","1964","1964","0.0013033672468736768","0.0012317794607952237","0.0013669393956661224","1964","1964","1964","0.0021983291488140823","0.0019728036131709814","0.002708423649892211"
"92","1985","1985","1985","0.0012941083405166864","0.0012182362843304873","0.0013660845579579473","1985","1985","1985","0.002194818202406168","0.001960490131750703","0.002707919105887413"
"93","2006","2006","2006","0.0013071679975837469","0.0012238547205924988","0.0013498954940587282","2006","2006","2006","0.002203420689329505","0.0019559203647077084","0.002756217960268259"
"94","2028","2028","2028","0.0013067885534837841","0.001255975803360343","0.0013872947311028838","2028","2028","2028","0.002200554218143225","0.0019315117970108986","0.00268373335711658"
"95","2049","2049","2049","0.0012840422336012126","0.0012238380732014775","0.001361859729513526","2049","2049","2049","0.0022018197225406764","0.0019384558545425534","0.0027003802824765444"
"96","2070","2070","2070","0.001295172981917858","0.0012185920495539904","0.0013479790650308132","2070","2070","2070","0.002190961269661784","0.0019435833673924208","0.00274044182151556"
"97","2092","2092","2092","0.0012789504835382104","0.0012268132995814085","0.0013382612960413098","2092","2092","2092","0.0021883787820115687","0.001946572563610971","0.002682552207261324"
"98","2113","2113","2113","0.0012858453206717967","0.0012416933896020055","0.0013571078889071941","2113","2113","2113","0.002190545108169317","0.001935769570991397","0.002705672290176153"
"99","2135","2135","2135","0.0012845431687310339","0.0012376487720757723","0.0013406327925622463","2135","2135","2135","0.0021955535048618913","0.0019281889544799924","0.002712386194616556"
