"epoch","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_vq_loss","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_vq_loss__MIN","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_vq_loss__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MAX"
"80","1729","1729","1729","0.0017027896596118809","0.001298566465266049","0.0020629274658858776","1729","1729","1729","0.003137440304271877","0.0019307752372696996","0.004088986665010452"
"81","1750","1750","1750","0.0017071975860744714","0.0013471947750076652","0.0020490195602178574","1750","1750","1750","0.0031309425830841064","0.001986486604437232","0.003799102734774351"
"82","1771","1771","1771","0.001699183462187648","0.0013178439112380147","0.0020114511717110872","1771","1771","1771","0.003114114562049508","0.0018815197981894016","0.003934379667043686"
"83","1793","1793","1793","0.001714378222823143","0.0013271394418552518","0.002131642773747444","1793","1793","1793","0.00302912974730134","0.0019144690595567226","0.003844262333586812"
"84","1814","1814","1814","0.0016928035067394376","0.0013219094835221767","0.0020508577581495047","1814","1814","1814","0.003072192263789475","0.0018978187581524253","0.004006391856819391"
"85","1835","1835","1835","0.0016815924318507314","0.0013474379666149616","0.0019889643881469965","1835","1835","1835","0.0029905474744737147","0.0017339733894914389","0.003730055643245578"
"86","1857","1857","1857","0.0016759213991463183","0.001338701811619103","0.0020620087161660194","1857","1857","1857","0.003011946100741625","0.0018241510260850191","0.0037620817311108112"
"87","1878","1878","1878","0.0016927639720961452","0.0012809864711016417","0.0020680304151028395","1878","1878","1878","0.003085451223887503","0.0018312971806153655","0.004188206512480974"
"88","1900","1900","1900","0.00175675128120929","0.0013038353063166142","0.0021514962427318096","1900","1900","1900","0.0030042992904782293","0.0017334157600998878","0.0037795656826347113"
"89","1921","1921","1921","0.001695829164236784","0.001273955451324582","0.0020581732969731092","1921","1921","1921","0.0030289752874523403","0.0017831649165600538","0.003787850961089134"
"90","1942","1942","1942","0.0016976346727460624","0.001292105414904654","0.0019743687007576227","1942","1942","1942","0.0029794299975037576","0.0017774351872503757","0.0038740327581763268"
"91","1964","1964","1964","0.0016736890655010938","0.0012784673599526286","0.0019867923110723495","1964","1964","1964","0.003005695249885321","0.0017504445277154446","0.003883712226524949"
"92","1985","1985","1985","0.001671796035952866","0.0012648631818592548","0.0019856495782732964","1985","1985","1985","0.003083023219369352","0.001818053307943046","0.00403418205678463"
"93","2006","2006","2006","0.0016663331538438798","0.0012565900105983019","0.002006032969802618","2006","2006","2006","0.003061020583845675","0.0017714806599542499","0.003947089891880751"
"94","2028","2028","2028","0.0016725318506360053","0.001272051827982068","0.0019517126493155956","2028","2028","2028","0.0030554677825421093","0.0017455990891903639","0.00384450308047235"
"95","2049","2049","2049","0.0016739461570978165","0.001282685436308384","0.0019824353512376547","2049","2049","2049","0.0029955729842185974","0.0017445425037294626","0.003732118057087064"
"96","2070","2070","2070","0.0016539286589249969","0.0012404092121869326","0.0019466916564852","2070","2070","2070","0.002981284400448203","0.0017837460618466139","0.003754269564524293"
"97","2092","2092","2092","0.0016655002720654011","0.0012554086279124022","0.0019458387978374958","2092","2092","2092","0.0029733772855252026","0.0017221488524228334","0.003855978837236762"
"98","2113","2113","2113","0.0016480429796501995","0.0012523395707830787","0.0019325746688991785","2113","2113","2113","0.003003623429685831","0.0017839495558291674","0.003940477967262268"
"99","2135","2135","2135","0.0016378909349441528","0.0012362502748146653","0.0019632489420473576","2135","2135","2135","0.003051213268190622","0.0017850168514996767","0.003942412324249744"
